epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8887,2.58016,5.68785,1.69664,8e-05,0.01835,1e-05,0,1.51764,4.99034,0.96386,0.00014,0.00014,0.00014
2,48.6426,1.45652,4.11601,0.98674,0.00865,0.37897,0.08134,0.0361,1.2917,4.69198,0.91336,0.000288564,0.000288564,0.000288564
3,69.9536,1.30377,3.3586,0.94378,0.00681,0.42996,0.06407,0.02466,1.2277,4.49361,0.90056,0.000435644,0.000435644,0.000435644
4,90.6717,1.34456,2.76228,0.94932,0.00427,0.3629,0.10715,0.06296,1.17223,4.33589,0.89297,0.000581238,0.000581238,0.000581238
5,111.365,1.2373,2.39517,0.9502,0.00727,0.688,0.30924,0.18867,1.19059,4.13625,0.89693,0.000725348,0.000725348,0.000725348
6,132.118,1.19719,2.201,0.93028,0.9617,0.07474,0.60055,0.35696,1.22127,3.6966,0.91287,0.000867973,0.000867973,0.000867973
7,152.749,1.1823,2.0851,0.96298,0.95306,0.11387,0.73087,0.47992,1.13147,3.48143,0.8912,0.0009703,0.0009703,0.0009703
8,173.607,1.20275,1.83334,0.93787,0.78974,0.19969,0.76669,0.48963,1.16474,3.12696,0.91465,0.00096535,0.00096535,0.00096535
9,194.503,1.13878,1.69571,0.92289,0.82906,0.75926,0.91019,0.62786,1.12298,2.30192,0.90335,0.0009604,0.0009604,0.0009604
10,215.349,1.09984,1.64817,0.90148,0.78287,0.89518,0.94162,0.66764,1.04615,1.82073,0.89163,0.00095545,0.00095545,0.00095545
11,236.128,1.08438,1.61302,0.90717,0.80687,0.91173,0.91115,0.64137,1.0465,1.73563,0.89613,0.0009505,0.0009505,0.0009505
12,257.107,1.05276,1.46428,0.89759,0.78101,0.96508,0.93808,0.67519,1.04378,1.42725,0.88461,0.00094555,0.00094555,0.00094555
13,277.938,1.05733,1.5608,0.89618,0.90908,0.8683,0.94257,0.68053,1.03804,1.43851,0.8851,0.0009406,0.0009406,0.0009406
14,298.839,1.09148,1.47656,0.91333,0.86273,0.8801,0.93747,0.68004,1.00501,1.48739,0.88156,0.00093565,0.00093565,0.00093565
15,320.885,1.04648,1.35596,0.9177,0.87594,0.89218,0.92712,0.64176,1.09119,1.42944,0.89416,0.0009307,0.0009307,0.0009307
16,342.355,1.01862,1.31865,0.89802,0.93091,0.95369,0.96232,0.69472,1.00365,1.20816,0.8739,0.00092575,0.00092575,0.00092575
17,363.46,1.00765,1.31458,0.90341,0.8883,0.89436,0.95336,0.65955,1.05494,1.31432,0.88669,0.0009208,0.0009208,0.0009208
18,384.699,0.95207,2.04313,0.85049,0.90365,0.95846,0.96123,0.6843,1.00644,1.15217,0.8706,0.00091585,0.00091585,0.00091585
19,405.76,1.02305,1.23962,0.88804,0.89655,0.95535,0.9521,0.68628,1.00647,1.13767,0.86878,0.0009109,0.0009109,0.0009109
20,426.941,0.96102,1.18372,0.87812,0.86917,0.88156,0.95412,0.69676,0.97125,1.25964,0.86518,0.00090595,0.00090595,0.00090595
21,447.997,0.95692,1.21287,0.88008,0.88797,0.90556,0.95128,0.70737,0.96818,1.13126,0.86906,0.000901,0.000901,0.000901
22,469.339,0.97649,1.11465,0.89639,0.88373,0.9184,0.95454,0.66931,1.02894,1.17877,0.88847,0.00089605,0.00089605,0.00089605
23,491.02,0.96448,1.07831,0.88391,0.93724,0.97825,0.95706,0.72249,0.97066,1.04216,0.86634,0.0008911,0.0008911,0.0008911
24,512.318,0.97021,1.14149,0.90022,0.86995,0.98224,0.9475,0.69162,0.96222,1.08389,0.85507,0.00088615,0.00088615,0.00088615
25,533.344,0.95992,1.03284,0.87074,0.92443,0.94355,0.96214,0.68695,1.04382,1.04489,0.88694,0.0008812,0.0008812,0.0008812
26,554.627,0.98672,1.11155,0.89506,0.92527,0.96098,0.97245,0.71652,0.98349,1.0276,0.86838,0.00087625,0.00087625,0.00087625
27,575.566,0.87033,1.18918,0.81459,0.9396,0.9252,0.97271,0.72539,0.94868,0.96083,0.86227,0.0008713,0.0008713,0.0008713
28,596.668,0.97834,0.99168,0.8652,0.88191,0.93076,0.96925,0.71992,1.00209,1.03761,0.8645,0.00086635,0.00086635,0.00086635
29,617.826,0.93786,0.99095,0.87789,0.8726,0.85468,0.96839,0.72882,0.96558,1.06739,0.86051,0.0008614,0.0008614,0.0008614
30,638.843,0.90876,0.92687,0.86183,0.94008,0.9388,0.97081,0.74568,0.89571,0.86318,0.85239,0.00085645,0.00085645,0.00085645
31,659.954,0.86729,0.9018,0.8664,0.93194,0.95043,0.97526,0.73527,0.92459,0.86337,0.85239,0.0008515,0.0008515,0.0008515
32,681.059,0.89116,0.86155,0.86916,0.88212,0.97413,0.97991,0.73121,0.96454,0.8972,0.86167,0.00084655,0.00084655,0.00084655
33,701.99,0.89155,0.92033,0.85583,0.92629,0.96913,0.97928,0.72674,0.98757,0.88656,0.87855,0.0008416,0.0008416,0.0008416
34,722.933,0.93651,0.95796,0.89242,0.90278,0.96194,0.97195,0.71022,0.98605,0.9836,0.87397,0.00083665,0.00083665,0.00083665
35,743.926,0.9119,0.9104,0.87788,0.91657,0.96331,0.98283,0.73118,0.94638,0.86507,0.85967,0.0008317,0.0008317,0.0008317
36,764.927,0.99167,0.89181,0.89963,0.9082,0.98281,0.98015,0.72557,0.95586,0.84455,0.86409,0.00082675,0.00082675,0.00082675
37,786.173,0.8973,0.82788,0.84176,0.92106,0.98707,0.97571,0.73187,0.97076,0.8469,0.86714,0.0008218,0.0008218,0.0008218
38,807.457,0.86226,0.81652,0.8697,0.9469,0.96722,0.95877,0.72224,0.93716,0.82477,0.85812,0.00081685,0.00081685,0.00081685
39,828.642,0.86635,0.8313,0.86822,0.91604,0.9888,0.98287,0.75121,0.90916,0.79011,0.85169,0.0008119,0.0008119,0.0008119
40,849.875,0.84519,0.84805,0.87411,0.92738,0.98455,0.97696,0.73621,0.92726,0.79052,0.8531,0.00080695,0.00080695,0.00080695
41,870.904,0.82091,0.80377,0.8542,0.92619,0.99897,0.97031,0.7259,0.93739,0.78574,0.86021,0.000802,0.000802,0.000802
42,891.96,0.82787,0.89246,0.80856,0.91962,0.98907,0.97395,0.73395,0.91453,0.76111,0.85113,0.00079705,0.00079705,0.00079705
43,913.086,0.94146,0.82341,0.86782,0.91626,0.96766,0.97221,0.71562,0.97825,0.77541,0.86025,0.0007921,0.0007921,0.0007921
44,934.123,0.88538,0.79845,0.85533,0.90822,0.96341,0.97887,0.68879,1.06687,0.81095,0.89221,0.00078715,0.00078715,0.00078715
45,955.153,0.92217,0.84112,0.85272,0.92559,0.98502,0.98192,0.72044,0.9903,0.81985,0.87093,0.0007822,0.0007822,0.0007822
46,976.172,0.84559,0.73907,0.86228,0.92204,0.99536,0.96248,0.71602,0.96665,0.76859,0.86141,0.00077725,0.00077725,0.00077725
47,997.265,0.79135,0.74145,0.86532,0.91664,0.97658,0.95652,0.70307,0.94277,0.75879,0.86063,0.0007723,0.0007723,0.0007723
48,1018.28,0.8365,0.7883,0.85487,0.91935,0.97773,0.96684,0.71985,0.9229,0.73408,0.86147,0.00076735,0.00076735,0.00076735
49,1039.33,0.83285,0.72581,0.85831,0.90955,0.983,0.97869,0.7306,0.88949,0.73835,0.85501,0.0007624,0.0007624,0.0007624
50,1060.33,0.834,0.74527,0.86612,0.90948,0.98594,0.98205,0.72745,0.9713,0.72665,0.85978,0.00075745,0.00075745,0.00075745
51,1081.33,0.88924,0.73981,0.86719,0.92483,0.97998,0.974,0.71934,0.98874,0.74704,0.86511,0.0007525,0.0007525,0.0007525
52,1102.46,0.84786,0.719,0.85989,0.91254,0.96838,0.97937,0.74039,0.94163,0.73745,0.85998,0.00074755,0.00074755,0.00074755
53,1123.69,0.81874,0.71881,0.84293,0.90991,1,0.97883,0.74,0.92882,0.7075,0.85087,0.0007426,0.0007426,0.0007426
54,1144.66,0.87189,0.74114,0.85089,0.93408,0.96403,0.98438,0.74999,0.92239,0.68133,0.85226,0.00073765,0.00073765,0.00073765
55,1165.64,0.7668,0.67459,0.842,0.92795,0.98984,0.98259,0.74633,0.91383,0.68098,0.84509,0.0007327,0.0007327,0.0007327
56,1186.55,0.781,0.69116,0.83429,0.92894,0.9816,0.98435,0.72038,0.9965,0.73424,0.8651,0.00072775,0.00072775,0.00072775
57,1207.47,0.83386,0.70998,0.8388,0.92895,0.96368,0.98692,0.74547,0.91353,0.70801,0.84975,0.0007228,0.0007228,0.0007228
58,1228.38,0.81909,0.69035,0.85862,0.92521,0.98427,0.97881,0.74655,0.90559,0.69896,0.84466,0.00071785,0.00071785,0.00071785
59,1249.41,0.7946,0.67304,0.86056,0.9225,0.96731,0.97509,0.74715,0.88625,0.71301,0.84358,0.0007129,0.0007129,0.0007129
60,1270.45,0.79035,0.63445,0.85126,0.94277,0.96149,0.97291,0.74263,0.90118,0.65307,0.84779,0.00070795,0.00070795,0.00070795
61,1290.95,0.76063,0.64797,0.83741,0.91302,0.98117,0.95213,0.71425,0.93499,0.75472,0.85803,0.000703,0.000703,0.000703
62,1311.44,0.74475,0.61647,0.84701,0.92723,0.99206,0.97383,0.72547,0.92113,0.67198,0.85756,0.00069805,0.00069805,0.00069805
63,1331.81,0.7713,0.61515,0.85072,0.91589,0.9627,0.96324,0.69925,0.94539,0.71021,0.86367,0.0006931,0.0006931,0.0006931
64,1352.19,0.72607,0.69524,0.79275,0.91595,0.93747,0.96031,0.70626,0.94113,0.7357,0.86136,0.00068815,0.00068815,0.00068815
65,1372.8,0.81476,0.63587,0.8408,0.90933,0.97798,0.96943,0.7157,0.93222,0.69011,0.8608,0.0006832,0.0006832,0.0006832
66,1393.34,0.79157,0.70695,0.86524,0.89935,0.96477,0.98177,0.72435,0.95312,0.72843,0.86347,0.00067825,0.00067825,0.00067825
67,1413.85,0.75722,0.61206,0.84493,0.89656,0.94118,0.97597,0.71378,0.97657,0.77125,0.86764,0.0006733,0.0006733,0.0006733
68,1434.24,0.76615,0.57915,0.84794,0.93676,0.9793,0.98555,0.73881,0.95433,0.64463,0.86358,0.00066835,0.00066835,0.00066835
69,1454.76,0.78829,0.62121,0.84495,0.93285,0.97571,0.98106,0.74679,0.92758,0.62652,0.85699,0.0006634,0.0006634,0.0006634
70,1475.24,0.78725,0.5887,0.84038,0.90878,0.99253,0.97575,0.75159,0.88383,0.63215,0.84956,0.00065845,0.00065845,0.00065845
71,1495.64,0.75099,0.63699,0.84603,0.92001,0.99186,0.98173,0.75543,0.87715,0.61335,0.84763,0.0006535,0.0006535,0.0006535
72,1515.97,0.78789,0.59015,0.8508,0.91181,0.98998,0.97993,0.75527,0.87612,0.58788,0.85304,0.00064855,0.00064855,0.00064855
73,1536.44,0.76255,0.6094,0.82406,0.89739,0.99769,0.97566,0.72817,0.91357,0.602,0.8516,0.0006436,0.0006436,0.0006436
74,1556.74,0.74789,0.58523,0.84267,0.90844,0.98711,0.97322,0.73637,0.90479,0.62282,0.8513,0.00063865,0.00063865,0.00063865
75,1577.3,0.73294,0.57091,0.84184,0.95454,0.97346,0.98469,0.75563,0.88201,0.58006,0.84868,0.0006337,0.0006337,0.0006337
76,1597.84,0.71003,0.56279,0.82602,0.95763,0.96755,0.985,0.75542,0.87629,0.59395,0.84685,0.00062875,0.00062875,0.00062875
77,1618.2,0.72346,0.64683,0.85107,0.93529,0.97363,0.98438,0.73089,0.96185,0.61331,0.863,0.0006238,0.0006238,0.0006238
78,1638.62,0.72089,0.60155,0.8549,0.93351,0.9523,0.9785,0.74559,0.91326,0.65971,0.84762,0.00061885,0.00061885,0.00061885
79,1658.95,0.78636,0.59069,0.83049,0.91974,0.97371,0.98537,0.72975,0.969,0.64747,0.85681,0.0006139,0.0006139,0.0006139
