epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6554,2.56093,5.60584,1.70001,0.00014,0.03264,8e-05,5e-05,1.37686,4.97691,0.9764,0.00013,0.00013,0.00013
2,49.8085,1.42355,4.05965,0.98604,0.0056,0.29631,0.0552,0.02492,1.08984,4.66748,0.87313,0.000268663,0.000268663,0.000268663
3,70.2776,1.28426,3.20797,0.93234,0.0035,0.46293,0.06417,0.0281,1.01778,4.50188,0.86342,0.000405941,0.000405941,0.000405941
4,90.4648,1.20032,2.80674,0.93277,0.00151,0.15325,0.02778,0.02059,0.99696,4.36633,0.87233,0.000541832,0.000541832,0.000541832
5,110.63,1.18742,2.38971,0.9215,0.00508,0.41313,0.22535,0.13943,0.98166,4.20945,0.8569,0.000676338,0.000676338,0.000676338
6,130.771,1.09908,2.09438,0.91431,0.00482,0.69181,0.29039,0.20265,0.98856,3.94588,0.8547,0.000809458,0.000809458,0.000809458
7,150.839,1.09552,1.88215,0.89439,0.00739,0.97768,0.82476,0.54637,1.13552,3.48436,0.87367,0.000941191,0.000941191,0.000941191
8,171.114,1.15713,1.71436,0.92197,0.98301,0.34079,0.92701,0.62401,1.05115,2.83396,0.87299,0.00096535,0.00096535,0.00096535
9,191.119,1.02561,1.62056,0.88393,0.84994,0.7496,0.90518,0.65256,0.97792,2.27085,0.86828,0.0009604,0.0009604,0.0009604
10,211.094,1.00857,1.62319,0.89605,0.87119,0.92359,0.96166,0.70939,0.93168,1.76989,0.85904,0.00095545,0.00095545,0.00095545
11,231.226,1.03755,1.5316,0.89371,0.76533,0.90471,0.95287,0.67369,0.95493,1.60862,0.85964,0.0009505,0.0009505,0.0009505
12,251.216,1.02056,1.45803,0.88834,0.88677,0.91183,0.93943,0.6767,0.9525,1.38897,0.87171,0.00094555,0.00094555,0.00094555
13,271.427,0.97861,1.36415,0.88587,0.90625,0.94949,0.97657,0.69859,0.94948,1.33289,0.87055,0.0009406,0.0009406,0.0009406
14,293.438,0.96828,1.33222,0.89619,0.82948,0.90555,0.96129,0.71475,0.9315,1.41284,0.87037,0.00093565,0.00093565,0.00093565
15,314.512,0.98188,1.3077,0.88885,0.92779,0.87618,0.96526,0.7365,0.91475,1.28609,0.85933,0.0009307,0.0009307,0.0009307
16,335.606,0.96975,1.25636,0.87722,0.91391,0.82421,0.94257,0.69993,0.90887,1.40991,0.85995,0.00092575,0.00092575,0.00092575
17,356.785,1.00063,1.2534,0.89432,0.93897,0.9264,0.97641,0.76375,0.8413,1.13383,0.85787,0.0009208,0.0009208,0.0009208
18,377.859,1.01219,1.16903,0.88911,0.87997,0.92808,0.97345,0.74713,0.86534,1.18407,0.86002,0.00091585,0.00091585,0.00091585
19,398.777,0.94349,1.12962,0.8845,0.96318,0.89156,0.97945,0.75651,0.86734,1.12959,0.85441,0.0009109,0.0009109,0.0009109
20,419.722,0.91901,1.12579,0.89162,0.95222,0.93266,0.98542,0.75663,0.89406,1.04764,0.85912,0.00090595,0.00090595,0.00090595
21,440.815,0.93538,1.15394,0.88913,0.94559,0.96509,0.98672,0.76095,0.8804,1.03811,0.86214,0.000901,0.000901,0.000901
22,461.756,0.96963,1.09648,0.87691,0.969,0.94469,0.97772,0.7229,0.91626,1.01481,0.8533,0.00089605,0.00089605,0.00089605
23,482.778,0.9148,1.00999,0.88126,0.91552,0.9143,0.97711,0.75041,0.82132,1.03634,0.85369,0.0008911,0.0008911,0.0008911
24,503.647,0.96303,1.04529,0.90169,0.8322,0.83532,0.93445,0.69559,0.93851,1.22428,0.86632,0.00088615,0.00088615,0.00088615
25,524.669,0.92678,1.01183,0.86494,0.92057,0.94937,0.96044,0.74441,0.84621,0.94605,0.85841,0.0008812,0.0008812,0.0008812
26,545.691,0.90451,0.98449,0.88293,0.85652,0.88797,0.94548,0.69689,0.92638,1.10102,0.88121,0.00087625,0.00087625,0.00087625
27,566.544,0.90974,1.01962,0.87936,0.75915,0.88664,0.91282,0.69517,0.87823,1.28512,0.87448,0.0008713,0.0008713,0.0008713
28,587.682,0.88857,0.97383,0.86934,0.87225,0.90056,0.93819,0.70976,0.89261,1.08401,0.86382,0.00086635,0.00086635,0.00086635
29,608.587,0.8767,0.94661,0.86138,0.93221,0.9456,0.97091,0.7437,0.84125,0.98068,0.84775,0.0008614,0.0008614,0.0008614
30,629.529,0.90432,0.90961,0.86623,0.93642,0.96251,0.97701,0.73707,0.91592,0.90855,0.86055,0.00085645,0.00085645,0.00085645
31,650.54,0.90008,0.92612,0.86368,0.90756,0.97727,0.97227,0.77674,0.78627,0.88036,0.83957,0.0008515,0.0008515,0.0008515
32,671.403,0.86684,0.92568,0.86015,0.92949,0.9788,0.97809,0.72808,0.95783,0.90344,0.86148,0.00084655,0.00084655,0.00084655
33,692.284,0.85574,0.87036,0.88496,0.95855,0.96356,0.98524,0.76794,0.84513,0.82762,0.85138,0.0008416,0.0008416,0.0008416
34,713.611,0.87223,0.87327,0.85469,0.93074,0.9387,0.97649,0.74768,0.8778,0.86678,0.84976,0.00083665,0.00083665,0.00083665
35,734.669,0.83162,0.8228,0.84138,0.9347,0.93486,0.98328,0.76701,0.83392,0.85253,0.84617,0.0008317,0.0008317,0.0008317
36,755.68,0.87135,0.84887,0.85941,0.94175,0.94521,0.974,0.77186,0.82586,0.87519,0.84461,0.00082675,0.00082675,0.00082675
37,776.558,0.80589,0.82753,0.85239,0.93879,0.96189,0.97656,0.76773,0.81288,0.84838,0.84353,0.0008218,0.0008218,0.0008218
38,797.498,0.85536,0.86183,0.85294,0.94165,0.92082,0.98266,0.76709,0.83831,0.84046,0.84577,0.00081685,0.00081685,0.00081685
39,818.33,0.87351,0.85388,0.86098,0.94395,0.96194,0.98245,0.75587,0.86092,0.83046,0.85208,0.0008119,0.0008119,0.0008119
40,839.548,0.856,0.88942,0.86191,0.94268,0.96141,0.97866,0.7603,0.83735,0.8252,0.85152,0.00080695,0.00080695,0.00080695
41,860.318,0.90125,0.83924,0.86227,0.90964,0.92872,0.96265,0.74771,0.84442,0.8594,0.8439,0.000802,0.000802,0.000802
